first_name,last_name,age,apprentice,grades
Dorothée,Reynaud,52,False,"[69, 73, 38, 32, 20, 100]"
Zoé,Bigot,28,False,"[95, 77, 37, 29, 66]"
Margot,Blanchet,56,True,"[11, 74, 7]"
Catherine,Pinto,54,False,"[55, 86, 4, 42]"
Olivier,Coulon,25,True,"[23, 27, 55]"
Honoré,Gillet,57,True,"[32, 55, 60, 6, 43, 63]"
Charlotte,Salmon,27,True,"[84, 7, 67]"
Élodie,Cousin,25,True,"[28, 36, 7, 54]"
Constance,Thibault,50,True,"[27, 3, 46, 99, 35, 77]"
Jacques,Sanchez,58,False,"[97, 47, 28, 71, 37]"
Alice,Cohen,51,False,"[64, 25, 44, 84]"
Philippine,Gaillard,35,True,"[89, 56, 97, 9]"
André,Lamy,57,True,"[60, 9, 70, 97, 67]"
Gérard,Huet,48,False,"[9, 43, 93, 19, 13, 40]"
Thérèse,Bernard,21,False,"[60, 63, 84, 16, 6]"
Nicolas,Guilbert,49,False,"[62, 20, 45, 5]"
Constance,Barre,60,False,"[34, 80, 72, 55]"
Antoinette,Germain,54,True,"[70, 67, 45]"
Robert,Loiseau,36,True,"[32, 92, 7, 19, 17]"
Gérard,Nicolas,45,False,"[44, 18, 87, 77]"
Sabine,Meyer,37,True,"[58, 57, 99]"
William,Garnier,59,False,"[63, 8, 30]"
Agnès,Guillou,46,True,"[59, 39, 38, 61, 81, 68]"
Alphonse,Maury,22,True,"[45, 22, 61]"
Aimée,Julien,30,False,"[56, 26, 78, 57]"
Valentine,Tanguy,57,False,"[15, 2, 8]"
Sophie,Leclerc,33,False,"[79, 54, 60, 63, 74]"
Honoré,Lebreton,37,False,"[33, 72, 10, 35, 2, 38]"
Stéphane,Bousquet,38,False,"[87, 24, 57, 61]"
Martine,Perrot,25,True,"[70, 90, 24]"
Audrey,Hernandez,41,True,"[53, 82, 89, 86]"
Margot,Lucas,47,True,"[40, 35, 67, 23]"
Susanne,Laroche,39,False,"[78, 8, 75, 0, 32, 23]"
Clémence,Delmas,55,False,"[89, 31, 72, 26]"
Margot,Blanchet,30,False,"[45, 1, 98, 63]"
Auguste,Toussaint,29,True,"[12, 54, 94, 72]"
Alfred,Lévêque,55,True,"[95, 64, 44, 46]"
Timothée,Baron,20,True,"[1, 73, 88]"
Sylvie,Humbert,18,False,"[0, 0, 99, 20, 56, 28]"
Jérôme,Peltier,37,True,"[91, 14, 20, 83, 30]"
Dorothée,Thierry,31,False,"[82, 2, 68, 68, 81, 18]"
Louise,Charrier,52,True,"[17, 45, 43, 52, 42]"
Michel,Jourdan,47,True,"[97, 57, 39]"
Nath,Nguyen,45,False,"[87, 29, 80, 50, 3]"
Antoine,Dubois,45,True,"[13, 28, 34]"
Noël,Colas,29,True,"[89, 8, 56, 38]"
Valérie,Vallée,41,True,"[90, 65, 68, 62, 22]"
Diane,Mallet,20,True,"[40, 54, 23, 27, 2, 62]"
Andrée,Duhamel,54,False,"[87, 85, 21, 25]"
Tristan,Barbe,26,False,"[90, 63, 14, 43]"
Laurent,Marchal,60,False,"[63, 20, 10, 3, 62]"
Louise,Guibert,54,True,"[91, 9, 87]"
Alexandrie,Lopes,33,False,"[79, 58, 10]"
Michelle,Buisson,36,True,"[53, 31, 10, 25, 3, 99]"
Anaïs,Jacob,22,False,"[19, 42, 53]"
Aimée,Meunier,19,True,"[48, 54, 84, 79]"
David,Martin,26,False,"[38, 37, 42]"
André,Fischer,27,True,"[94, 81, 73, 69]"
Susanne,Vasseur,47,False,"[40, 2, 17, 96, 87, 34]"
Isabelle,Perrier,29,True,"[45, 58, 62, 86, 17, 64]"
Michèle,Arnaud,30,False,"[77, 4, 15, 27]"
Claudine,Albert,36,True,"[86, 44, 34, 0]"
Paul,Gomes,50,False,"[67, 27, 55, 76, 4, 0]"
Odette,Pineau,58,True,"[88, 39, 81, 39, 2]"
Matthieu,Techer,42,False,"[86, 60, 96, 70, 66, 45]"
Aimée,Leroy,53,True,"[46, 40, 6, 77, 15, 36]"
Daniel,Becker,48,False,"[7, 82, 26, 86, 4]"
Christelle,Verdier,53,False,"[40, 89, 48]"
Adélaïde,Robert,28,False,"[25, 52, 96]"
Colette,Dufour,38,True,"[63, 80, 46, 52, 88, 70]"
Marcelle,Leclerc,28,True,"[33, 71, 20]"
Adrienne,Guillon,25,False,"[18, 100, 68, 37]"
Philippine,Masson,47,True,"[70, 44, 62]"
Henriette,Lacombe,34,True,"[96, 3, 36, 91, 33]"
Christiane,Hervé,54,True,"[47, 98, 88]"
Suzanne,Collin,33,False,"[48, 43, 4]"
Gilles,Hernandez,20,False,"[59, 78, 64, 37]"
Célina,Raynaud,57,True,"[49, 74, 98]"
Thibault,Carpentier,28,True,"[12, 11, 19]"
Jeannine,Guyon,51,False,"[56, 56, 41]"
Sabine,Raynaud,58,False,"[74, 73, 18]"
